         /\\\\            /\\\\  /\\\\\\\\\\\\     /\\\\\\\\\\\\\\\  /\\\\\\\\\\\
         \/\\\\\\        /\\\\\\ \/\\\////////\\\  \/\\\///////////  \/////\\\///
          \/\\\//\\\    /\\\//\\\ \/\\\      \//\\\ \/\\\                 \/\\\
           \/\\\\///\\\/\\\/ \/\\\ \/\\\       \/\\\ \/\\\\\\\\\\\         \/\\\
            \/\\\  \///\\\/   \/\\\ \/\\\       \/\\\ \/\\\///////          \/\\\
             \/\\\    \///     \/\\\ \/\\\       \/\\\ \/\\\                 \/\\\
              \/\\\             \/\\\ \/\\\       /\\\  \/\\\                 \/\\\
               \/\\\             \/\\\ \/\\\\\\\\\\\\/   \/\\\\\\\\\\\\\\\  /\\\\\\\\\\\
                \///              \///  \////////////     \///////////////  \///////////
			MULTI		   DIMENSIONAL 		ETERNO 	       INFINITO

ELIMINA EL ULTIMO PARENTESIS ) DEL LINK, NO ES PARTE DE EL

UNETE A NOSOTROS, AYUDEMOS A LA SOCIEDAD.
COMPARTE ESTE ARCHIVO LO MAS QUE PUEDAS.
https://www.facebook.com/groups/1222842638483075
https://t.me/MDEI_ORG


	ALERGOLOGIA - INFECTOLOGIA (folder)
		Alergia e Inmunologí. Secretos - Gershwin 2ed.pdf (3.44 MB, shared as exported permanent file link: https://mega.nz/file/a5xWFBZB#8I6kBn72V-RB2gSi3TTw5Lh9Woktz7i1tu8MUVk1yGA)
		Alergia Elemental - Javier Fernández.pdf (3.26 MB, shared as exported permanent file link: https://mega.nz/file/6go2CDbI#DHAm1HQ2sJerGJNaAirgevQ-FjPTI3GBr_9z7yYTU-U)
		Guia_de_alergia_para_residentes_y_atencion_prima.pdf (5.86 MB, shared as exported permanent file link: https://mega.nz/file/T9xTBbwR#C2N8fnXncScDauZZJR2fC3bGPQD4dqhd4vELnM0H6BE)
		Infectologia Clinica 18a Edicion.pdf (1108.11 MB, shared as exported permanent file link: https://mega.nz/file/n8oRiA5C#SSfNUBke6H4oTtr_dh2ku9sisRTR4q2AiKVMBLEfpRw)
		Mandell_Douglas_and_Bennetts_Enfermedades_Infecciosas_Principios.pdf (247.01 MB, shared as exported permanent file link: https://mega.nz/file/agoQhboR#d9GZmCe-RBAp15mzkuAPQoHWh46P4EBAvuuhWMzZ1wk)
		Middleton Alergologia Esencial.pdf (36.84 MB, shared as exported permanent file link: https://mega.nz/file/a5IXhDBJ#-1EfJ3PORTZEViQIhrvEtnVDD63RWD9qYAKTuELAzBI)
		Polinosis 1_.pdf (12.04 MB, shared as exported permanent file link: https://mega.nz/file/r0JRzT4A#xdrIa0lDm1A-riMa-z1sBqO8p4mgNG3CHdNEgZYr88s)
		Polinosis 2.pdf (20.72 MB, shared as exported permanent file link: https://mega.nz/file/up5hmCLL#90ffzbGFPV-hTnqNVuASZ9FrBQhHt5BFLy8zaqipZdY)
		Polinosis 3_.pdf (8.55 MB, shared as exported permanent file link: https://mega.nz/file/boYkVQSC#aqDiPDIVDQciUSwtMcqVSl0WzVn84itmnjD9FkDRoVU)
	ANATOMÍA (folder)
		Anatomia - ROUVIERE - TOMO2.PDF (61.22 MB, shared as exported permanent file link: https://mega.nz/file/Tl5kFKjY#q6zKHRD1RRoYPYPR-pxgPuZEhU3NK2mPvVRfJyWWAcU)
		anatomia - rouviere tomo 1.pdf (271.08 MB, shared as exported permanent file link: https://mega.nz/file/OhYn0CJb#Dl8a8sntSnO6UvyjQYfrjgluvrek0br4guzVCv1hIC4)
		Anatomia Clinica.pdf (41.51 MB, shared as exported permanent file link: https://mega.nz/file/6pYGTABL#uFlg35vdUmAlV8vH0fWHr_ip8ZhWEJRyoJUqWvmvYSg)
		Anatomia con Orientacion Clinica 8a Edici_moore.pdf (184.18 MB, shared as exported permanent file link: https://mega.nz/file/zlpy3SSI#kK5hVNS8s9RIMQSfAxTkcdzxvkFreRnYtHlnsnvCS5I)
		ANATOMIA DE GRAY-ESTUDIANTES REPASO.pdf (4.50 MB, shared as exported permanent file link: https://mega.nz/file/q1wSACQT#Jd2HoNBbghRS_xY5i2vPWoRJobHIons-aCDJKf7Q-3Q)
		Anatomia para Estudiantes-Gray 2 Ed.pdf (460.03 MB, shared as exported permanent file link: https://mega.nz/file/fxpQ1QQY#GKX3iZ4QDTcR7gZLews-N4MQlAdXvEHMnfL2h2XanyY)
		Anatomia y Fisiologia del Cuerpo Humano Tresguerres.pdf (13.65 MB, shared as exported permanent file link: https://mega.nz/file/S9RXxKzC#O5Ky5tt4wIztcOo1kvA3cvlFx-oli2FjavX1SWa_FWU)
		Anatomia y fisiologia del sistema nervioso central - Velayos.pdf (9.52 MB, shared as exported permanent file link: https://mega.nz/file/bpQkiRxA#D5kuvqH4JLKtmIrzZ1Lgj2LGRRs5hYSazZrdsdZbXAU)
		Anatomia-y-Fisiologia-Humana.pdf (33.35 MB, shared as exported permanent file link: https://mega.nz/file/rwhDWL4D#dLzYWBIAO_aUwoLU0FmlpkrIoLoy8MIsIoDApTZM9Ek)
		Anatomy and Physiology Colouring and Workbook 5th Edition.pdf (38.27 MB, shared as exported permanent file link: https://mega.nz/file/a8hE2CzY#QwtQoHh2WYjfLFovTfORxoJeOj4PK8EqmCpXmdgCTaY)
		Anatomía - Latarjet 4ed (Tomo 2).pdf (75.32 MB, shared as exported permanent file link: https://mega.nz/file/S1BFGQgI#rBkJrssvZwYDgoLitsWz76KrasKfCyx1vJ2H89AdOy4)
		Anatomía Humana - Dr. Fernando Quiroz Gutiérrez (Tomo 1).pdf (40.84 MB, shared as exported permanent file link: https://mega.nz/file/2lRQ0RQK#XQhCgKr4r5ZK_zkIKYV1ckwUTcW1exvluZsT28HpliI)
		Anatomía Humana - Dr. Fernando Quiroz Gutiérrez (Tomo 2).pdf (42.82 MB, shared as exported permanent file link: https://mega.nz/file/uxRkgIyQ#Lty91q8i4eIXQu20pInyxBaL6JjQurAPDTeBCuBCH1k)
		Anatomía Humana - Dr. Fernando Quiroz Gutiérrez (Tomo 3).pdf (51.49 MB, shared as exported permanent file link: https://mega.nz/file/qtYHlCTb#WcHDrIraTCAooiNU8Bn_VbfI9Kc9M-SBYimKD5l5otQ)
		Anatomía y Fisiología 6ed.pdf (40.51 MB, shared as exported permanent file link: https://mega.nz/file/28Z3HIgB#-1oBQUupuHrBfwORdfFTu-IXpQD-wJK64hdsM09ftfw)
		Anatomía y Técnica Quirúrgicas (Skandalakis).pdf (11.77 MB, shared as exported permanent file link: https://mega.nz/file/D5BwDDhQ#WC8F40sn5FUpF76Y2qZGkK9mEsKeN8vatprDbWV3Xsw)
		Atlas de Anatomia Humana Netter 6a Ed.pdf (279.28 MB, shared as exported permanent file link: https://mega.nz/file/X8gSVABD#Yv77dgmmvK85hKvIqhD5Ytw-OTtTCK9lHESx733FTC4)
